No,Suhu,TDS,Turbidity,Output,z
R1,SL,SL,SL,Sangat Layak,1.00
R2,SL,SL,PS,Perlu Proses Sedang,0.67
R3,SL,SL,PI,Perlu Proses Intensif,0.33
R4,SL,SL,TL,Tidak Lolos,0.00
R5,SL,PS,SL,Perlu Proses Sedang,0.67
R6,SL,PS,PS,Perlu Proses Sedang,0.67
R7,SL,PS,PI,Perlu Proses Intensif,0.33
R8,SL,PS,TL,Tidak Lolos,0.00
R9,SL,PI,SL,Perlu Proses Intensif,0.33
R10,SL,PI,PS,Perlu Proses Intensif,0.33
R11,SL,PI,PI,Perlu Proses Intensif,0.33
R12,SL,PI,TL,Tidak Lolos,0.00
R13,SL,TL,SL,Tidak Lolos,0.00
R14,SL,TL,PS,Tidak Lolos,0.00
R15,SL,TL,PI,Tidak Lolos,0.00
R16,SL,TL,TL,Tidak Lolos,0.00
R17,PS,SL,SL,Perlu Proses Sedang,0.67
R18,PS,SL,PS,Perlu Proses Sedang,0.67
R19,PS,SL,PI,Perlu Proses Intensif,0.33
R20,PS,SL,TL,Tidak Lolos,0.00
R21,PS,PS,SL,Perlu Proses Sedang,0.67
R22,PS,PS,PS,Perlu Proses Sedang,0.67
R23,PS,PS,PI,Perlu Proses Intensif,0.33
R24,PS,PS,TL,Tidak Lolos,0.00
R25,PS,PI,SL,Perlu Proses Intensif,0.33
R26,PS,PI,PS,Perlu Proses Intensif,0.33
R27,PS,PI,PI,Perlu Proses Intensif,0.33
R28,PS,PI,TL,Tidak Lolos,0.00
R29,PS,TL,SL,Tidak Lolos,0.00
R30,PS,TL,PS,Tidak Lolos,0.00
R31,PS,TL,PI,Tidak Lolos,0.00
R32,PS,TL,TL,Tidak Lolos,0.00
R33,PI,SL,SL,Perlu Proses Intensif,0.33
R34,PI,SL,PS,Perlu Proses Intensif,0.33
R35,PI,SL,PI,Perlu Proses Intensif,0.33
R36,PI,SL,TL,Tidak Lolos,0.00
R37,PI,PS,SL,Perlu Proses Intensif,0.33
R38,PI,PS,PS,Perlu Proses Intensif,0.33
R39,PI,PS,PI,Perlu Proses Intensif,0.33
R40,PI,PS,TL,Tidak Lolos,0.00
R41,PI,PI,SL,Perlu Proses Intensif,0.33
R42,PI,PI,PS,Perlu Proses Intensif,0.33
R43,PI,PI,PI,Perlu Proses Intensif,0.33
R44,PI,PI,TL,Tidak Lolos,0.00
R45,PI,TL,SL,Tidak Lolos,0.00
R46,PI,TL,PS,Tidak Lolos,0.00
R47,PI,TL,PI,Tidak Lolos,0.00
R48,PI,TL,TL,Tidak Lolos,0.00
R49,TL,SL,SL,Tidak Lolos,0.00
R50,TL,SL,PS,Tidak Lolos,0.00
R51,TL,SL,PI,Tidak Lolos,0.00
R52,TL,SL,TL,Tidak Lolos,0.00
R53,TL,PS,SL,Tidak Lolos,0.00
R54,TL,PS,PS,Tidak Lolos,0.00
R55,TL,PS,PI,Tidak Lolos,0.00
R56,TL,PS,TL,Tidak Lolos,0.00
R57,TL,PI,SL,Tidak Lolos,0.00
R58,TL,PI,PS,Tidak Lolos,0.00
R59,TL,PI,PI,Tidak Lolos,0.00
R60,TL,PI,TL,Tidak Lolos,0.00
R61,TL,TL,SL,Tidak Lolos,0.00
R62,TL,TL,PS,Tidak Lolos,0.00
R63,TL,TL,PI,Tidak Lolos,0.00
R64,TL,TL,TL,Tidak Lolos,0.00
